sample_index,sample_id,video_id,diagnostic_wer,aligned_word_fraction,whisperx_wer,wer_percentile,unaligned_percentile,whisperx_wer_percentile,risk_score,risk_components,existing_ctc_alert,auxiliary_complete
17,-I_e4mIh0yE$_$1,-I_e4mIh0yE,0.1111111111111111,1.0,,0.19696969696969696,0.36363636363636365,,0.2803030303030303,2,False,False
31,-UacrmKiTn4$_$10,-UacrmKiTn4,0.1111111111111111,1.0,,0.19696969696969696,0.36363636363636365,,0.2803030303030303,2,False,False
43,-dxfTGcXJoc$_$6,-dxfTGcXJoc,0.10714285714285714,1.0,,0.18181818181818182,0.36363636363636365,,0.2727272727272727,2,False,False
60,-lzEya4AM_4$_$5,-lzEya4AM_4,0.10526315789473684,1.0,,0.1717171717171717,0.36363636363636365,,0.2676767676767677,2,False,False
27,-THoVjtIkeU$_$12,-THoVjtIkeU,0.10256410256410256,1.0,,0.16161616161616163,0.36363636363636365,,0.26262626262626265,2,False,False
19,-MeTTeMJBNc$_$0,-MeTTeMJBNc,0.09523809523809523,1.0,,0.15151515151515152,0.36363636363636365,,0.25757575757575757,2,False,False
45,-egA8-b7-3M$_$13,-egA8-b7-3M,0.09090909090909091,1.0,,0.1414141414141414,0.36363636363636365,,0.25252525252525254,2,False,False
42,-dxfTGcXJoc$_$2,-dxfTGcXJoc,0.08571428571428572,1.0,,0.13131313131313133,0.36363636363636365,,0.2474747474747475,2,False,False
10,-9y-fZ3swSY$_$8,-9y-fZ3swSY,0.08333333333333333,1.0,,0.1111111111111111,0.36363636363636365,,0.23737373737373738,2,False,False
41,-dxfTGcXJoc$_$1,-dxfTGcXJoc,0.08333333333333333,1.0,,0.1111111111111111,0.36363636363636365,,0.23737373737373738,2,False,False
51,-egA8-b7-3M$_$6,-egA8-b7-3M,0.08333333333333333,1.0,,0.1111111111111111,0.36363636363636365,,0.23737373737373738,2,False,False
20,-MeTTeMJBNc$_$13,-MeTTeMJBNc,0.07142857142857142,1.0,,0.09090909090909091,0.36363636363636365,,0.2272727272727273,2,False,False
21,-MeTTeMJBNc$_$7,-MeTTeMJBNc,0.03225806451612903,1.0,,0.08080808080808081,0.36363636363636365,,0.22222222222222224,2,False,False
61,-lzEya4AM_4$_$6,-lzEya4AM_4,0.023255813953488372,1.0,,0.0707070707070707,0.36363636363636365,,0.21717171717171718,2,False,False
46,-egA8-b7-3M$_$16,-egA8-b7-3M,0.0,1.0,,0.030303030303030304,0.36363636363636365,,0.19696969696969696,2,False,False
47,-egA8-b7-3M$_$17,-egA8-b7-3M,0.0,1.0,,0.030303030303030304,0.36363636363636365,,0.19696969696969696,2,False,False
48,-egA8-b7-3M$_$18,-egA8-b7-3M,0.0,1.0,,0.030303030303030304,0.36363636363636365,,0.19696969696969696,2,False,False
49,-egA8-b7-3M$_$20,-egA8-b7-3M,0.0,1.0,,0.030303030303030304,0.36363636363636365,,0.19696969696969696,2,False,False
52,-egA8-b7-3M$_$9,-egA8-b7-3M,0.0,1.0,,0.030303030303030304,0.36363636363636365,,0.19696969696969696,2,False,False
67,-mqbVkbCndg$_$0,-mqbVkbCndg,0.0,1.0,,0.030303030303030304,0.36363636363636365,,0.19696969696969696,2,False,False
89,-wMB_hJL-3o$_$7,-wMB_hJL-3o,0.0,1.0,,0.030303030303030304,0.36363636363636365,,0.19696969696969696,2,False,False
