sample_id,modality,n_positions,top20_share,positive_fraction,negative_fraction,median_D
236021$_$2,A,48,0.39903696868460214,0.4791666666666667,0.5208333333333334,0.00063919182866805
236021$_$2,T,48,0.527488325129694,0.6041666666666666,0.3958333333333333,0.0140967623641093
236021$_$2,V,48,0.4206721374768211,0.4375,0.5625,0.0007884117464224
236021$_$3,A,7,0.4654438556544958,0.42857142857142855,0.5714285714285714,0.0021894872188568
236021$_$3,T,7,0.9276092472227471,0.5714285714285714,0.42857142857142855,0.0075585146745045
236021$_$3,V,7,0.5028756278426404,0.5714285714285714,0.42857142857142855,0.000714898109436
236021$_$4,A,48,0.4343145425542844,0.3958333333333333,0.6041666666666666,0.0006657596677541501
236021$_$4,T,48,0.5763461439830584,0.6041666666666666,0.3958333333333333,0.0201123302492002
236021$_$4,V,48,0.5204273469961755,0.5625,0.4375,0.00029416941106315004
236021$_$5,A,15,0.36845310876492493,0.6666666666666666,0.3333333333333333,0.0013069411118825
236021$_$5,T,15,0.5882570638260529,0.6,0.4,0.0233940382798512
236021$_$5,V,15,0.46040452238649693,0.4666666666666667,0.5333333333333333,0.0003510117530822
237009$_$11,A,9,0.31857539548847164,0.5555555555555556,0.4444444444444444,0.0019048154354095
237009$_$11,T,9,0.4482279681312629,0.4444444444444444,0.5555555555555556,0.0636838401357332
237009$_$11,V,9,0.26269681313253507,0.4444444444444444,0.5555555555555556,0.0008853127559026
237009$_$12,A,45,0.31969295453819546,0.4444444444444444,0.4888888888888889,0.0002087950706481
237009$_$12,T,45,0.8083985051589964,0.4222222222222222,0.5777777777777777,0.000933825969696
237009$_$12,V,45,0.4142118518622965,0.4666666666666667,0.3333333333333333,0.0001246333122253
237009$_$4,A,19,0.4769166499770903,0.5263157894736842,0.47368421052631576,0.0012198537588119
237009$_$4,T,19,0.5977443591064233,0.5263157894736842,0.47368421052631576,0.027170439561208
237009$_$4,V,8,0.49437094942207094,0.25,0.75,0.00148960699637725
237009$_$7,A,8,0.5458241620661862,0.25,0.75,0.00109700361887605
237009$_$7,T,8,0.7619320618362608,0.75,0.25,0.0064905732870101495
237009$_$7,V,8,0.5077223050061437,0.5,0.5,0.00091872115929915
237009$_$9,A,12,0.4315581525019431,0.3333333333333333,0.6666666666666666,0.00114773213863365
237009$_$9,T,12,0.9151470480169575,0.6666666666666666,0.3333333333333333,0.0104434490203857
237009$_$9,V,12,0.4460977023549393,0.25,0.75,0.0007033248742421
241629$_$0,A,13,0.30942859751569574,0.6153846153846154,0.38461538461538464,0.0014393925666809
241629$_$0,T,13,0.5244961655488207,0.46153846153846156,0.5384615384615384,0.0438444316387176
