sample_id,video_id,cluster_id,episode_keys_json,visual_signal_basis,valid_frame_count,real_sync_score,best_lag_s,null_count,null_median,null_p95,empirical_percentile,p_like_score,rank_within_sample,top1_top2_margin
-mJ2ud6oKI8$_$8,-mJ2ud6oKI8,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,105,-0.1696299088121006,-0.12,26,0.1092934925110769,0.397230746043477,0.0,1.0,1,
-mJ2ud6oKI8$_$9,-mJ2ud6oKI8,0,"[""0:0"",""1:1""]",mouth_landmarks_62_66_over_48_54,169,-0.0500609069112044,-0.08,26,0.0120101407676224,0.2412341361365216,0.3076923076923077,0.7037037037037037,1,
-mqbVkbCndg$_$0,-mqbVkbCndg,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,162,0.0178721393134238,0.2,25,0.0756336224987767,0.2296404884165823,0.24,0.7692307692307693,1,
-qDkUB0GgYY$_$6,-qDkUB0GgYY,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,117,-0.0381740610731786,-0.2,26,0.1570732124801689,0.3248446317749164,0.1538461538461538,0.8518518518518519,1,
-ri04Z7vwnc$_$2,-ri04Z7vwnc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,47,0.4669062700185148,-0.12,23,0.5081595354036582,0.6626042051343657,0.4782608695652174,0.5416666666666666,1,
-ri04Z7vwnc$_$5,-ri04Z7vwnc,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,83,0.0795431503348117,0.16,26,0.10256322488739,0.4992545304893305,0.4615384615384615,0.5555555555555556,1,
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,2,,,0,,,,,2,
-s9qJ7ATP7w$_$0,-s9qJ7ATP7w,1,"[""0:1"",""1:2""]",mouth_landmarks_62_66_over_48_54,170,-0.1064450704201791,-0.2,26,-0.0067960002227872,0.2012785255073732,0.2307692307692307,0.7777777777777778,1,
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,97,0.3572187001203645,0.16,26,0.224438400051772,0.4913093780082181,0.8076923076923077,0.2222222222222222,1,0.3420095002527223
-s9qJ7ATP7w$_$1,-s9qJ7ATP7w,1,"[""1:1""]",mouth_landmarks_62_66_over_48_54,117,0.0152091998676422,0.0,26,0.1697089779918963,0.2964502745373455,0.0384615384615384,0.9629629629629628,2,
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,33,0.3189907684691567,0.2,25,0.0445967605250835,0.618433298323344,0.72,0.3076923076923077,1,0.2206950903826207
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,1,"[""1:1""]",mouth_landmarks_62_66_over_48_54,23,0.0982956780865359,0.2,25,0.3687441849843811,0.7394666123034427,0.04,0.9615384615384616,2,
-s9qJ7ATP7w$_$4,-s9qJ7ATP7w,2,"[""1:2""]",mouth_landmarks_62_66_over_48_54,1,,,0,,,,,3,
-s9qJ7ATP7w$_$5,-s9qJ7ATP7w,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,210,0.1995843973918027,0.2,26,0.1294650894162031,0.2411751554110855,0.9230769230769232,0.1111111111111111,1,
-s9qJ7ATP7w$_$6,-s9qJ7ATP7w,0,"[""0:0""]",mouth_landmarks_62_66_over_48_54,36,0.4478015512486322,-0.12,25,0.3432149962922722,0.5363376696121332,0.72,0.3076923076923077,1,
