sample_id,sample_index,modality,Formal,Stage 2,Stage 3,change_pp,stage3_increment_pp
-tANM6ETl_M$_$3,81,T,0.88,0.88,0.88,0.0,0.0
-tANM6ETl_M$_$3,81,V,0.0,0.78,0.96,96.0,17.999999999999993
-tPCytz4rww$_$10,82,A,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$10,82,T,0.8,0.8,0.8,0.0,0.0
-tPCytz4rww$_$10,82,V,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$11,83,A,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$11,83,T,0.82,0.82,0.82,0.0,0.0
-tPCytz4rww$_$11,83,V,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$12,84,A,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$12,84,T,0.86,0.86,0.86,0.0,0.0
-tPCytz4rww$_$12,84,V,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$16,85,A,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$16,85,T,0.72,0.72,0.72,0.0,0.0
-tPCytz4rww$_$16,85,V,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$18,86,A,1.0,1.0,1.0,0.0,0.0
-tPCytz4rww$_$18,86,T,0.86,0.86,0.86,0.0,0.0
-tPCytz4rww$_$18,86,V,1.0,1.0,1.0,0.0,0.0
-uywlfIYOS8$_$4,87,A,0.98,0.98,0.98,0.0,0.0
-uywlfIYOS8$_$4,87,T,0.78,0.78,0.78,0.0,0.0
-uywlfIYOS8$_$4,87,V,1.0,1.0,1.0,0.0,0.0
-vxjVxOeScU$_$4,88,A,1.0,0.0,0.0,-100.0,0.0
-vxjVxOeScU$_$4,88,T,0.84,0.84,0.84,0.0,0.0
-vxjVxOeScU$_$4,88,V,1.0,1.0,1.0,0.0,0.0
-wMB_hJL-3o$_$7,89,A,1.0,1.0,1.0,0.0,0.0
-wMB_hJL-3o$_$7,89,T,0.84,0.84,0.84,0.0,0.0
-wMB_hJL-3o$_$7,89,V,0.0,0.88,0.88,88.0,0.0
-wny0OAz3g8$_$0,90,A,1.0,1.0,1.0,0.0,0.0
-wny0OAz3g8$_$0,90,T,0.74,0.74,0.74,0.0,0.0
-wny0OAz3g8$_$0,90,V,0.0,0.82,0.98,98.0,16.000000000000004
-wny0OAz3g8$_$1,91,A,1.0,1.0,1.0,0.0,0.0
-wny0OAz3g8$_$1,91,T,0.88,0.88,0.88,0.0,0.0
-wny0OAz3g8$_$1,91,V,0.0,0.98,1.0,100.0,2.0000000000000018
-wny0OAz3g8$_$2,92,A,0.98,0.98,0.98,0.0,0.0
-wny0OAz3g8$_$2,92,T,0.88,0.88,0.88,0.0,0.0
-wny0OAz3g8$_$2,92,V,0.0,0.8,1.0,100.0,19.999999999999996
-wny0OAz3g8$_$3,93,A,1.0,1.0,1.0,0.0,0.0
-wny0OAz3g8$_$3,93,T,0.84,0.84,0.84,0.0,0.0
-wny0OAz3g8$_$3,93,V,0.0,0.64,0.98,98.0,34.0
-wny0OAz3g8$_$5,94,A,0.98,0.98,0.98,0.0,0.0
-wny0OAz3g8$_$5,94,T,0.86,0.86,0.86,0.0,0.0
-wny0OAz3g8$_$5,94,V,0.0,0.9,0.98,98.0,7.9999999999999964
-wny0OAz3g8$_$7,95,A,1.0,1.0,1.0,0.0,0.0
-wny0OAz3g8$_$7,95,T,0.88,0.88,0.88,0.0,0.0
-wny0OAz3g8$_$7,95,V,0.0,0.9,1.0,100.0,9.999999999999998
-wny0OAz3g8$_$9,96,A,0.98,0.98,0.98,0.0,0.0
-wny0OAz3g8$_$9,96,T,0.86,0.86,0.86,0.0,0.0
-wny0OAz3g8$_$9,96,V,0.0,0.82,0.92,92.0,10.000000000000009
-yRb-Jum7EQ$_$1,97,A,1.0,0.9,0.9,-9.999999999999998,0.0
-yRb-Jum7EQ$_$1,97,T,0.0,0.0,0.0,0.0,0.0
-yRb-Jum7EQ$_$1,97,V,0.0,0.0,0.0,0.0,0.0
-yRb-Jum7EQ$_$5,98,A,1.0,0.82,0.82,-18.000000000000004,0.0
-yRb-Jum7EQ$_$5,98,T,0.0,0.0,0.0,0.0,0.0
-yRb-Jum7EQ$_$5,98,V,0.0,0.14,1.0,100.0,86.0
-yRb-Jum7EQ$_$6,99,A,1.0,0.48,0.48,-52.0,0.0
-yRb-Jum7EQ$_$6,99,T,0.0,0.0,0.0,0.0,0.0
-yRb-Jum7EQ$_$6,99,V,1.0,1.0,1.0,0.0,0.0
