sample_id,semantic_pairing_status,semantic_reason,temporal_alignment_status,temporal_reason,forced_alignment_status,forced_alignment_coverage,common_word_count,common_word_fraction,start_median,end_median,midpoint_median,midpoint_p90,max_error,CTC_coverage,new_alignment_coverage
-mJ2ud6oKI8$_$2,CONFLICT,global_retrieval_prefers_other_audio,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.2727272727272727,1.2698935381355934,1.2454676906779665,1.2576806144067798,1.403347563559322,1.4419772245762712,0.2727272727272727,1.0
-mJ2ud6oKI8$_$6,UNRESOLVED,independent_semantic_evidence_is_inconclusive,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,3,0.6,0.0930208333333333,0.0934791666666666,0.0932499999999999,0.2126166666666667,0.3377708333333334,0.6,1.0
-mJ2ud6oKI8$_$8,UNRESOLVED,independent_semantic_evidence_is_inconclusive,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,8,0.7272727272727273,0.3772446705426356,0.2808386627906976,0.2525591085271317,0.3750501937984494,0.4200547480620153,0.7272727272727273,1.0
-mJ2ud6oKI8$_$9,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,12,0.5454545454545454,0.8799781976744192,0.8699534883720933,0.9304694767441866,1.6213667151162794,2.01427034883721,0.5454545454545454,1.0
-mqbVkbCndg$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,PARTIAL,official_text_has_reliable_partial_times_but_time_agreement_is_below_VERIFIED,ok,1.0,12,1.0,0.3386507537688439,0.2511243718592965,0.3031840452261308,0.4252365577889447,0.6312261306532667,1.0,1.0
-qDkUB0GgYY$_$6,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,16,1.0,0.1982043269230771,0.1419969405594406,0.1721106861888112,0.3001559768356644,0.5676271853146853,1.0,1.0
-ri04Z7vwnc$_$0,CONFLICT,global_retrieval_prefers_other_audio,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,6,0.75,0.3215154411764708,0.5921514705882356,0.4961011029411767,0.6046161764705884,0.6965720588235296,0.75,1.0
-ri04Z7vwnc$_$2,UNRESOLVED,within_video_clip_mapping_suspected,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,10,0.625,1.932324388586957,1.9367204483695657,2.0571344259510878,2.2168343919836957,2.458030910326087,0.625,1.0
-ri04Z7vwnc$_$5,CONFLICT,CTC_and_WhisperX_agree_but_both_conflict_with_official;global_retrieval_prefers_other_audio,NOT_APPLICABLE,semantic_pairing_not_supported,ok,1.0,5,0.625,0.7031450471698114,0.7715412735849058,0.8054422169811322,0.830010141509434,0.9285507075471698,0.625,1.125
-s9qJ7ATP7w$_$0,MATCH_STRONG,WhisperX_and_global_retrieval_support_official_text,VERIFIED,CTC_and_official_forced_alignment_meet_frozen_time_thresholds,ok,1.0,23,0.9583333333333334,0.2670426136363639,0.226042613636364,0.2603267045454546,0.3759457386363635,0.6372926136363644,0.9583333333333334,1.0
