sample_id,video_id,episode_a,face_id_a,episode_b,face_id_b,cosine_similarity,episode_a_valid_embeddings,episode_b_valid_embeddings,episode_a_dispersion,episode_b_dispersion
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,3,0,0.8303364515304565,1,2,0.0,0.0002785921096801
-THoVjtIkeU$_$6,-THoVjtIkeU,0,0,4,0,0.7823901176452637,1,12,0.0,0.11542409658432
-THoVjtIkeU$_$6,-THoVjtIkeU,1,0,2,0,0.6321810483932495,1,1,0.0,0.0
-THoVjtIkeU$_$6,-THoVjtIkeU,1,0,3,0,0.8082872033119202,1,2,0.0,0.0002785921096801
-THoVjtIkeU$_$6,-THoVjtIkeU,1,0,4,0,0.7696284651756287,1,12,0.0,0.11542409658432
-THoVjtIkeU$_$6,-THoVjtIkeU,2,0,3,0,0.5863542556762695,1,2,0.0,0.0002785921096801
-THoVjtIkeU$_$6,-THoVjtIkeU,2,0,4,0,0.5824203491210938,1,12,0.0,0.11542409658432
-THoVjtIkeU$_$6,-THoVjtIkeU,3,0,4,0,0.8608724474906921,2,12,0.0002785921096801,0.11542409658432
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,0,1,0,-0.0229021366685628,12,12,0.0178432464599609,0.013767272233963
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,0,2,1,0.0757163763046264,12,12,0.0178432464599609,0.0158235430717468
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,0,3,2,0.0189278200268745,12,12,0.0178432464599609,0.0098079144954681
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,0,4,3,-0.0470505468547344,12,12,0.0178432464599609,0.0146675109863281
-UuX1xuaiiE$_$0,-UuX1xuaiiE,1,0,2,1,0.043349377810955,12,12,0.013767272233963,0.0158235430717468
-UuX1xuaiiE$_$0,-UuX1xuaiiE,1,0,3,2,0.2504644393920898,12,12,0.013767272233963,0.0098079144954681
-UuX1xuaiiE$_$0,-UuX1xuaiiE,1,0,4,3,0.2342419028282165,12,12,0.013767272233963,0.0146675109863281
-UuX1xuaiiE$_$0,-UuX1xuaiiE,2,1,3,2,-0.0114234434440732,12,12,0.0158235430717468,0.0098079144954681
-UuX1xuaiiE$_$0,-UuX1xuaiiE,2,1,4,3,-0.0226781442761421,12,12,0.0158235430717468,0.0146675109863281
-UuX1xuaiiE$_$0,-UuX1xuaiiE,3,2,4,3,0.0856210589408874,12,12,0.0098079144954681,0.0146675109863281
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,1,0,-0.1480991840362548,12,12,0.0240444540977478,0.0185253918170928
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,2,0,0.0002286834642291,12,2,0.0240444540977478,0.0028244853019714
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,3,1,-0.0111916437745094,12,12,0.0240444540977478,0.0195086002349853
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,4,1,-0.0386072248220443,12,12,0.0240444540977478,0.0365144610404968
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,5,2,0.065656840801239,12,12,0.0240444540977478,0.0149989128112792
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,6,2,0.0238468535244464,12,12,0.0240444540977478,0.0303739011287689
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,7,3,0.2460519671440124,12,12,0.0240444540977478,0.0218605995178222
-UuX1xuaiiE$_$1,-UuX1xuaiiE,0,0,8,3,0.0881790518760681,12,12,0.0240444540977478,0.0340347588062286
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,0,2,0,0.0370042584836483,12,2,0.0185253918170928,0.0028244853019714
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,0,3,1,-0.0008801631629467,12,12,0.0185253918170928,0.0195086002349853
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,0,4,1,0.0766811668872833,12,12,0.0185253918170928,0.0365144610404968
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,0,5,2,0.0325413234531879,12,12,0.0185253918170928,0.0149989128112792
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,0,6,2,0.0631844028830528,12,12,0.0185253918170928,0.0303739011287689
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,0,7,3,-0.0131827872246503,12,12,0.0185253918170928,0.0218605995178222
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,0,8,3,0.0573063045740127,12,12,0.0185253918170928,0.0340347588062286
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2,0,3,1,0.0309583209455013,2,12,0.0028244853019714,0.0195086002349853
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2,0,4,1,0.0100024063140153,2,12,0.0028244853019714,0.0365144610404968
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2,0,5,2,-0.0366982705891132,2,12,0.0028244853019714,0.0149989128112792
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2,0,6,2,0.1635667085647583,2,12,0.0028244853019714,0.0303739011287689
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2,0,7,3,0.0138434283435344,2,12,0.0028244853019714,0.0218605995178222
-UuX1xuaiiE$_$1,-UuX1xuaiiE,2,0,8,3,-0.0418239459395408,2,12,0.0028244853019714,0.0340347588062286
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3,1,4,1,0.0414988249540329,12,12,0.0195086002349853,0.0365144610404968
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3,1,5,2,0.0018164222128689,12,12,0.0195086002349853,0.0149989128112792
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3,1,6,2,0.0790672078728675,12,12,0.0195086002349853,0.0303739011287689
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3,1,7,3,0.0801259130239486,12,12,0.0195086002349853,0.0218605995178222
-UuX1xuaiiE$_$1,-UuX1xuaiiE,3,1,8,3,0.0823233127593994,12,12,0.0195086002349853,0.0340347588062286
-UuX1xuaiiE$_$1,-UuX1xuaiiE,4,1,5,2,0.062218964099884,12,12,0.0365144610404968,0.0149989128112792
-UuX1xuaiiE$_$1,-UuX1xuaiiE,4,1,6,2,0.1164643168449401,12,12,0.0365144610404968,0.0303739011287689
-UuX1xuaiiE$_$1,-UuX1xuaiiE,4,1,7,3,0.0594608671963214,12,12,0.0365144610404968,0.0218605995178222
-UuX1xuaiiE$_$1,-UuX1xuaiiE,4,1,8,3,0.2170524448156356,12,12,0.0365144610404968,0.0340347588062286
-UuX1xuaiiE$_$1,-UuX1xuaiiE,5,2,6,2,0.0418213978409767,12,12,0.0149989128112792,0.0303739011287689
-UuX1xuaiiE$_$1,-UuX1xuaiiE,5,2,7,3,0.2004360854625702,12,12,0.0149989128112792,0.0218605995178222
-UuX1xuaiiE$_$1,-UuX1xuaiiE,5,2,8,3,0.0813835114240646,12,12,0.0149989128112792,0.0340347588062286
-UuX1xuaiiE$_$1,-UuX1xuaiiE,6,2,7,3,0.026637140661478,12,12,0.0303739011287689,0.0218605995178222
-UuX1xuaiiE$_$1,-UuX1xuaiiE,6,2,8,3,0.0258668344467878,12,12,0.0303739011287689,0.0340347588062286
-UuX1xuaiiE$_$1,-UuX1xuaiiE,7,3,8,3,0.1151140034198761,12,12,0.0218605995178222,0.0340347588062286
-UuX1xuaiiE$_$3,-UuX1xuaiiE,0,0,1,0,-0.0141467433422803,12,7,0.0611079931259155,0.0275253653526306
-UuX1xuaiiE$_$3,-UuX1xuaiiE,0,0,2,1,0.8557148575782776,12,12,0.0611079931259155,0.0265747904777526
-UuX1xuaiiE$_$3,-UuX1xuaiiE,1,0,2,1,-0.0133365225046873,7,12,0.0275253653526306,0.0265747904777526
-UuX1xuaiiE$_$6,-UuX1xuaiiE,0,0,1,1,0.92254239320755,5,12,0.0016475021839141,0.0265385210514068
-dxfTGcXJoc$_$1,-dxfTGcXJoc,0,0,1,1,0.8964794874191284,12,2,0.0869590640068054,0.0026267766952514
-dxfTGcXJoc$_$6,-dxfTGcXJoc,0,0,1,1,0.9125803112983704,12,6,0.0849955976009368,0.004723846912384
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0,0,1,0,0.636267900466919,12,12,0.0886494219303131,0.0930201709270477
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0,0,2,0,0.4901753664016723,12,5,0.0886494219303131,0.0329992771148681
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0,0,3,0,,12,0,0.0886494219303131,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0,0,4,0,,12,0,0.0886494219303131,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0,0,5,1,0.6569353342056274,12,1,0.0886494219303131,0.0
-hnBHBN8p5A$_$6,-hnBHBN8p5A,0,0,6,1,0.5416455268859863,12,2,0.0886494219303131,0.0314989984035491
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1,0,2,0,0.5833542346954346,12,5,0.0930201709270477,0.0329992771148681
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1,0,3,0,,12,0,0.0930201709270477,
-hnBHBN8p5A$_$6,-hnBHBN8p5A,1,0,4,0,,12,0,0.0930201709270477,
