sample_id,modality,D,phi_class,phi_score_raw,observed
241629$_$5,V,0.03670812025666237,-0.027334600687026978,-0.23087001871317628,27
241629$_$8,T,0.38937304417292273,0.5618312805891037,-1.6407331253091495,48
241629$_$8,A,0.013494064410527546,0.04144316911697387,-0.0802813718716304,48
241629$_$8,V,0.03846108913421631,0.08279947936534882,-0.35588169346253073,48
243646$_$11,T,0.31913068393866223,0.49517676730950666,-0.8457676668961842,19
243646$_$11,A,0.04962426424026489,0.09984937806924185,-0.18298428257306415,19
243646$_$11,V,0.019553373257319134,0.030932505925496418,-0.13154830535252882,19
243646$_$12,T,0.41742431186139584,0.5840627600749333,-1.599686160683632,48
243646$_$12,A,0.026276379823684692,0.07012829681237538,-0.14160984382033348,48
243646$_$12,V,0.010111480951309204,0.023038913806279496,0.013901542872190475,48
243646$_$9,T,0.23603880840043226,0.41897917290528613,0.20736243529245257,1
243646$_$9,A,0.030502336099743843,0.028931652506192528,0.10366352857090531,1
243646$_$9,V,0.032237802942593895,0.07071920235951741,-0.0100713239517063,1
243646$_$8,T,0.16314449906349182,0.31143486003081,0.07631241526299465,12
243646$_$8,A,0.03368927163925643,0.0038214425245920803,-0.27808056018936134,12
243646$_$8,V,0.015346291164557139,0.06001358727614085,-0.060029313007059194,12
247318$_$12,T,0.37143757939338684,0.5459694365660349,-1.4275134007136028,13
247318$_$12,A,0.02695527672767639,0.04518952469031015,-0.19266430536905926,13
247318$_$12,V,0.02988170584042867,0.06395476559797922,-0.27005771795908595,13
247318$_$1,T,0.24717791130145392,0.3964777092138926,0.37650744492808974,16
247318$_$1,A,0.01944247881571452,0.050018365184466035,-0.11175803219278653,16
247318$_$1,V,0.03179013170301914,0.06648307542006174,-0.1854054679473241,16
247318$_$3,T,0.3118612865606944,0.48572211960951484,-1.0715894003709157,5
247318$_$3,A,0.04642890890439351,0.08051821092764536,-0.24985962112744647,5
247318$_$3,V,0.019261141618092854,0.054984102646509804,-0.19453372557957965,5
247318$_$2,T,0.20552533368269602,0.35969298581282294,0.2951754741370678,17
247318$_$2,A,0.017682370419303577,0.005446086327234902,-0.1671653501689434,17
247318$_$2,V,0.014054161806901295,0.04279809693495432,-0.19629713892936707,17
247318$_$5,T,0.1306546814739704,0.09567698339621225,0.5407057031989098,19
247318$_$5,A,0.012078866362571716,-0.04301873346169789,-0.04174301028251648,19
247318$_$5,V,0.02656730016072591,-0.08883367975552875,-0.018429093062877676,19
247318$_$7,T,0.3879850010077159,0.5637962321440378,-1.4981354027986526,6
247318$_$7,A,0.020090371370315552,0.04804612199465433,-0.0819686353206634,6
247318$_$7,V,0.021033038695653282,0.06215972701708475,-0.22644813358783727,6
247318$_$6,T,0.281526571760575,0.23960942029953,1.2426844437917073,5
247318$_$6,A,0.018567055463790894,-0.05055738985538483,-0.034294116000334406,5
247318$_$6,V,0.02605607112248739,-0.08417169749736785,0.01634874691565829,5
252998$_$1,T,0.24779040490587553,0.42317016919453937,0.3996349175771077,18
252998$_$1,A,0.010666903108358383,0.00966756542523702,-0.046601022283236176,18
252998$_$1,V,0.014899826298157373,0.02569239338239034,-0.24790550271670023,18
252998$_$0,T,0.11676880267138282,0.07730685671170552,0.35841063844660914,14
252998$_$0,A,0.011443778406828642,-0.07017328838507333,-0.13977636707325775,14
252998$_$0,V,0.05654832177485029,0.011872564752896622,-0.20057191265126068,14
252998$_$5,T,0.42916494607925415,0.6014506369829178,-1.5609626906613507,41
252998$_$5,A,0.015477885802586872,0.02411183714866638,0.02828575422366464,41
252998$_$5,V,0.023157993952433266,0.04075478017330169,-0.1585199820498625,41
252998$_$4,T,0.3165535976489385,0.4666687697172165,-0.9360140661398568,48
252998$_$4,A,0.015643030405044556,0.030197650194168087,-0.09302116433779398,48
252998$_$4,V,0.04029656449953715,0.05762667953968048,-0.18630860249201447,48
252998$_$7,T,0.13477810472249985,0.08846170703570047,0.67925459643205,37
252998$_$7,A,0.011280961334705353,-0.06656530996163686,-0.10303411881128949,37
252998$_$7,V,0.010214659074942272,-0.051303421457608536,-0.1868131707111994,35
252998$_$8,T,0.07845253000656764,0.1681598573923111,-0.15428980191548664,11
252998$_$8,A,0.03248662004868189,0.07914619147777556,0.006146291891733796,11
252998$_$8,V,0.04477336009343465,-0.008483022451400757,-0.2636205454667409,11
257247$_$10,T,0.39040156702200574,0.5673450231552124,-1.4854244738817215,8
257247$_$10,A,0.010592857996622723,0.022639989852905273,-0.04743799567222589,8
257247$_$10,V,0.02920531233151754,0.07175740599632263,-0.21028192341327667,8
257247$_$12,T,0.434301013747851,0.5977896104256312,-1.6916572954505678,19
257247$_$12,A,0.00672851006189982,0.008467982212702434,0.050291698426008294,19
257247$_$12,V,0.026776830355326336,0.05890011290709178,-0.26335017941892147,19
257247$_$2,T,0.17996351545055705,0.15615581969420114,0.6958229765295981,18
257247$_$2,A,0.030394981304804482,-0.028124993046124775,0.053540609776973724,18
257247$_$2,V,0.045235609014829,-0.12848650415738422,-0.10867695510387419,18
258654$_$1,T,0.4159239317911367,0.5855705936749775,-1.3801411582777896,48
258654$_$1,A,0.014720310767491657,0.027197246750195823,0.005604448107381651,48
258654$_$1,V,0.00827456514040629,0.017358248432477314,-0.019331974598268672,48
258654$_$3,T,0.3720835434893767,0.5475234438975651,-1.1197880407174425,48
258654$_$3,A,0.015577505032221476,0.033582811554272965,-0.047138584156831094,48
258654$_$3,V,0.013327141602834066,0.02650471528371175,-0.00549220790465668,48
258654$_$4,T,0.09827603648106256,0.03258516391118367,0.4932494548459847,15
258654$_$4,A,0.02225289742151896,-0.048051069180170686,0.03344570969541866,15
258654$_$4,V,0.04991239806016286,0.006689955790837601,0.1609735166033109,15
266791$_$24,T,0.34558487435181934,0.512314145763715,-1.2257069249947865,16
266791$_$24,A,0.023239543040593464,0.05225514372189839,-0.05498223503430677,16
266791$_$24,V,0.0408671498298645,0.08469751973946889,-0.281351884206136,16
266791$_$20,T,0.2264798879623413,0.33695918321609497,0.43748333553473157,36
